Date,Directorate,Beneficiary,Summary,Amount,Merchant Category,Supplier Number
04/01/2020,Community Services,Fintax Cars Ltd,Equipment Purchase,113.37,Office Supplies,S596
04/01/2020,Education,Secured Housing Ltd,Maintenance,269.51,Office Supplies,S820
04/01/2020,Infrastructure,Archives & Records Assoc (UK & Irel,Equipment Purchase,386.1,Travel Expenses,S320
04/01/2020,Education,Worlifts Ltd,Project Management,453.29,Travel Expenses,S821
04/01/2020,Education,Education Roundtables,Consultation,496.95,Office Supplies,S716
05/01/2020,Community Services,Service4Education Ltd,Consultation,354.62,Travel Expenses,S532
05/01/2020,Housing,Tudor Rose Cleaning Services Limited,Maintenance,198.52,Food & Drink Purchases,S611
05/01/2020,Community Services,Refugee Alliance Ltd,Equipment Purchase,459.98,Consulting,S731
05/01/2020,Healthcare,S Gibson Solutions Ltd,Maintenance,347.97,Utilities,S567
05/01/2020,Infrastructure,Pde Waste Technologies Ltd,Training,137.63,Office Supplies,S519
05/01/2020,Housing,Gemeente Rotterdam,Consultation,224.42,Consulting,S170
05/01/2020,Infrastructure,Eteach UK Ltd,Consultation,185.78,Utilities,S329
05/01/2020,Infrastructure,Baker Ross Limited,Training,493.82,Food & Drink Purchases,S336
06/01/2020,Community Services,Smartgrade Ltd,Project Management,218.34,Utilities,S475
06/01/2020,Infrastructure,Robocodeuk limited,Training,92.31,Food & Drink Purchases,S817
06/01/2020,Infrastructure,Esd Waste 2 Water Europe Ltd,Project Management,435.03,Food & Drink Purchases,S636
06/01/2020,Infrastructure,Protec Fire Detection PLC,Equipment Purchase,398.0,Consulting,S532
06/01/2020,Education,Findel Education Limited,Equipment Purchase,158.41,Office Supplies,S162
06/01/2020,Education,Barcham Trees PLC,Equipment Purchase,309.22,Travel Expenses,S212
06/01/2020,Infrastructure,Prism Medical UK Ltd,Maintenance,449.03,Food & Drink Purchases,S362
07/01/2020,Infrastructure,D & K Heating Services Ltd,Equipment Purchase,457.75,Consulting,S353
07/01/2020,Infrastructure,Ecolab Ltd,Equipment Purchase,212.15,Food & Drink Purchases,S612
07/01/2020,Education,DRS Elite Services,Training,185.41,Food & Drink Purchases,S235
07/01/2020,Healthcare,Accord Housing Association Ltd,Consultation,223.8,Utilities,S400
07/01/2020,Infrastructure,Rb (Services) Ltd,Training,359.47,Travel Expenses,S397
07/01/2020,Housing,Amicura Limited,Maintenance,288.24,Consulting,S624
07/01/2020,Infrastructure,United By Mapleshire 2022 Legacy Charity,Maintenance,238.1,Consulting,S741
07/01/2020,Healthcare,Highway Traffic Management,Training,364.69,Consulting,S120
08/01/2020,Infrastructure,Forensic Analytics Ltd,Equipment Purchase,421.25,Consulting,S966
08/01/2020,Healthcare,AdviserPlus Business Solutions Limited,Project Management,56.73,Consulting,S157
08/01/2020,Education,Sellick Partnership Group Ltd,Consultation,446.83,Utilities,S712
08/01/2020,Community Services,Sport 4 Life UK,Consultation,453.14,Office Supplies,S506
08/01/2020,Education,Open House Community Group CIC,Maintenance,262.21,Office Supplies,S296
08/01/2020,Community Services,FAS Window Films Ltd,Consultation,282.35,Food & Drink Purchases,S603
08/01/2020,Community Services,Behaviour Watch Ltd,Project Management,127.87,Food & Drink Purchases,S740
08/01/2020,Healthcare,Le Academy,Consultation,111.7,Consulting,S141
09/01/2020,Infrastructure,Stepping Forward Ltd,Equipment Purchase,455.51,Food & Drink Purchases,S998
09/01/2020,Community Services,National Association Of Councillors,Project Management,199.13,Consulting,S350
09/01/2020,Infrastructure,Batchcott & Waller Limited,Project Management,343.73,Utilities,S295
09/01/2020,Healthcare,Political Lobbying and Media Relations Limited,Maintenance,440.82,Food & Drink Purchases,S898
09/01/2020,Housing,Catherine Contracts Limited,Consultation,492.29,Travel Expenses,S149
09/01/2020,Healthcare,Creative Education Limited,Training,198.59,Consulting,S389
09/01/2020,Community Services,Royal Air Force Museum,Training,308.44,Consulting,S192
10/01/2020,Community Services,3rd Angle (UK) Ltd,Maintenance,297.57,Utilities,S457
10/01/2020,Infrastructure,Elliott Group Ltd,Training,260.24,Food & Drink Purchases,S146
10/01/2020,Education,Postjet Systems Ltd,Project Management,209.92,Food & Drink Purchases,S422
10/01/2020,Healthcare,Tuskerdirect Limited,Equipment Purchase,157.46,Travel Expenses,S343
10/01/2020,Community Services,Radley Allotment,Equipment Purchase,298.38,Utilities,S437
10/01/2020,Healthcare,Marlbrook Electrical Ltd,Maintenance,421.55,Travel Expenses,S138
10/01/2020,Infrastructure,Scout Insurance Services Ltd,Training,225.9,Office Supplies,S751
10/01/2020,Community Services,Odlings Ltd,Maintenance,382.42,Utilities,S964
11/01/2020,Housing,Equalital Ltd.,Equipment Purchase,241.87,Travel Expenses,S395
11/01/2020,Housing,Housing Systems Ltd,Consultation,284.99,Consulting,S721
11/01/2020,Infrastructure,Northfield Community Partnership Ltd,Project Management,259.08,Utilities,S929
11/01/2020,Healthcare,PeoplePlus (DP),Consultation,169.56,Consulting,S349
11/01/2020,Infrastructure,Orchid Supported Living Ltd,Training,176.23,Travel Expenses,S288
11/01/2020,Education,Able Access (UK) Limited,Maintenance,457.32,Consulting,S388
11/01/2020,Housing,Lookers Motor Group Limited,Maintenance,477.25,Consulting,S528
11/01/2020,Education,Kiniths House,Maintenance,374.92,Travel Expenses,S887
12/01/2020,Healthcare,Productions Sicamus,Project Management,304.37,Office Supplies,S255
12/01/2020,Healthcare,West Midlands Anti Slavery Network,Maintenance,363.59,Office Supplies,S697
12/01/2020,Housing,Bromcom Computers PLC,Maintenance,373.91,Utilities,S867
12/01/2020,Community Services,Bhat Singh Sabha (Highgate),Maintenance,152.44,Travel Expenses,S401
12/01/2020,Community Services,Herefordshire Council,Maintenance,308.21,Travel Expenses,S746
12/01/2020,Community Services,Age UK Mapleshire Ltd,Consultation,264.19,Food & Drink Purchases,S922
12/01/2020,Healthcare,Magic Of Play Ltd,Project Management,261.4,Office Supplies,S505
13/01/2020,Education,Hatherley Commercial Services Limited,Project Management,112.73,Office Supplies,S596
13/01/2020,Infrastructure,Precision Imaging,Equipment Purchase,54.49,Food & Drink Purchases,S988
13/01/2020,Healthcare,Central Learning Partnership Trust,Training,122.75,Consulting,S779
13/01/2020,Education,Lbs Worldwide Ltd,Equipment Purchase,229.45,Travel Expenses,S273
13/01/2020,Community Services,Russell Leisure Limited,Maintenance,283.38,Food & Drink Purchases,S390
13/01/2020,Housing,Charles Williams Lancaster,Maintenance,202.61,Travel Expenses,S550
13/01/2020,Infrastructure,Agg Electrical Safety Testing Ltd,Consultation,135.96,Utilities,S910
13/01/2020,Community Services,Comfort Homes & Care Ltd,Training,494.22,Travel Expenses,S754
14/01/2020,Housing,Sandwell Ips Ltd,Project Management,433.28,Food & Drink Purchases,S276
14/01/2020,Healthcare,Nordic Forsakring & Riskhantering AB,Maintenance,297.9,Office Supplies,S603
14/01/2020,Community Services,CAFLO,Training,335.18,Travel Expenses,S844
14/01/2020,Education,Glenlake International Limited,Equipment Purchase,394.08,Consulting,S968
14/01/2020,Infrastructure,Fairfax Windows Limited,Equipment Purchase,475.88,Consulting,S327
14/01/2020,Healthcare,Free At Last,Maintenance,223.09,Travel Expenses,S798
14/01/2020,Housing,Noah's Ark Environmental Services Ltd,Maintenance,394.91,Utilities,S809
14/01/2020,Healthcare,Mapleshire Multi Care,Equipment Purchase,376.42,Office Supplies,S734
15/01/2020,Healthcare,TMR Executive Agency Limited,Equipment Purchase,85.06,Consulting,S628
15/01/2020,Infrastructure,Spring View Healthcare Ltd,Consultation,269.08,Utilities,S286
15/01/2020,Infrastructure,Pertemps Recruitment Partnrship Ltd,Maintenance,278.18,Office Supplies,S505
15/01/2020,Community Services,Hf Trust Ltd,Maintenance,412.68,Travel Expenses,S519
15/01/2020,Infrastructure,Wpc Software Ltd,Project Management,134.2,Office Supplies,S465
15/01/2020,Education,AMB Landscaping & Building Services,Equipment Purchase,160.71,Travel Expenses,S756
15/01/2020,Education,Fellowship Of Inspection Nominees L,Project Management,401.87,Travel Expenses,S675
16/01/2020,Infrastructure,Oakfield (Easton Maudit) Limited,Equipment Purchase,117.07,Food & Drink Purchases,S123
16/01/2020,Healthcare,Stanbrook Care Home,Equipment Purchase,104.69,Food & Drink Purchases,S737
16/01/2020,Infrastructure,Swift Maintenance Services,Consultation,348.52,Food & Drink Purchases,S593
16/01/2020,Housing,EDGEPS Limited,Consultation,221.58,Travel Expenses,S704
16/01/2020,Education,Masiello Ltd,Maintenance,353.09,Utilities,S420
16/01/2020,Housing,Selly Oak Trust School,Maintenance,336.54,Travel Expenses,S839
16/01/2020,Infrastructure,Hire Space Website Ltd,Equipment Purchase,129.16,Office Supplies,S684
16/01/2020,Infrastructure,Communities Engage And Thrive CIC,Maintenance,77.89,Consulting,S503
17/01/2020,Housing,Equita Limited,Equipment Purchase,495.34,Utilities,S622
17/01/2020,Infrastructure,Bloomberg Finance Lp,Training,102.5,Food & Drink Purchases,S298
17/01/2020,Healthcare,The Shrubbery School,Maintenance,201.03,Consulting,S199
17/01/2020,Infrastructure,Oracle Solutions Asbestos Ltd,Consultation,426.91,Travel Expenses,S463
17/01/2020,Education,Winkhaus UK Ltd,Training,167.68,Office Supplies,S621
17/01/2020,Infrastructure,Talk Straight Ltd,Project Management,335.96,Travel Expenses,S280
17/01/2020,Housing,City Fleet Care Ltd,Training,348.66,Consulting,S640
17/01/2020,Education,Our Family Care Home Ltd,Maintenance,347.04,Food & Drink Purchases,S750
18/01/2020,Infrastructure,Fox Hollies Ninestiles Allot Assn,Project Management,465.53,Office Supplies,S174
18/01/2020,Healthcare,Education Software Solutions Ltd,Maintenance,343.72,Office Supplies,S630
18/01/2020,Community Services,No5 Chambers Limited,Equipment Purchase,114.28,Food & Drink Purchases,S356
18/01/2020,Community Services,Art Of Brilliance Ltd,Training,98.07,Utilities,S345
18/01/2020,Healthcare,Esmero Care Services Ltd,Equipment Purchase,362.62,Food & Drink Purchases,S912
18/01/2020,Housing,Frontline Consulting Associates Ltd,Project Management,76.01,Office Supplies,S388
18/01/2020,Housing,Sentinel Security Systems Ltd,Project Management,277.74,Food & Drink Purchases,S294
19/01/2020,Infrastructure,Connect Internet Solutions Ltd,Project Management,289.92,Food & Drink Purchases,S302
19/01/2020,Community Services,Orchid Drive,Equipment Purchase,244.25,Food & Drink Purchases,S424
19/01/2020,Community Services,Safelincs Ltd,Equipment Purchase,269.72,Office Supplies,S822
19/01/2020,Healthcare,Clh Care Home Ltd,Project Management,249.67,Consulting,S498
19/01/2020,Healthcare,Weavers Close Limited,Project Management,109.26,Utilities,S190
19/01/2020,Education,Cheshire West & Chester Council,Training,140.94,Consulting,S773
19/01/2020,Education,Discovery Adventure Golf Limited,Project Management,389.83,Utilities,S415
19/01/2020,Infrastructure,Da Mechanical & HVAC Services Ltd,Maintenance,142.81,Office Supplies,S121
20/01/2020,Education,Netbuilder Digital Ltd,Training,79.37,Utilities,S302
20/01/2020,Healthcare,Express Solicitors,Project Management,296.7,Consulting,S285
20/01/2020,Housing,Foresight Clinical Services Limited,Equipment Purchase,425.82,Food & Drink Purchases,S916
20/01/2020,Healthcare,Ball Colegrave Ltd,Project Management,454.01,Office Supplies,S380
20/01/2020,Education,Crestos Care Ltd,Training,305.93,Consulting,S497
20/01/2020,Infrastructure,Substrakt Limited,Maintenance,192.83,Office Supplies,S882
20/01/2020,Housing,J Jones Electrical & Facility Services Limited,Project Management,89.05,Food & Drink Purchases,S541
20/01/2020,Healthcare,Age Concern Mapleshire,Maintenance,328.29,Travel Expenses,S270
21/01/2020,Infrastructure,CHHG Ltd,Consultation,69.41,Utilities,S844
21/01/2020,Housing,Inspiration Lifestyle Services Ltd,Project Management,412.86,Office Supplies,S751
21/01/2020,Infrastructure,Inter Scientific Limited,Equipment Purchase,90.15,Utilities,S241
21/01/2020,Infrastructure,Bournville Catering Equipment Ltd,Training,213.99,Food & Drink Purchases,S742
21/01/2020,Community Services,Channelglaze Limited,Equipment Purchase,360.25,Utilities,S592
21/01/2020,Housing,Goodbye Blue Monday,Training,311.43,Utilities,S323
21/01/2020,Healthcare,Oakleigh Residential Home Limited,Maintenance,407.0,Travel Expenses,S312
22/01/2020,Education,Hgv Direct Ltd,Maintenance,52.06,Travel Expenses,S883
22/01/2020,Housing,Mike Ayres Design Ltd,Consultation,376.52,Travel Expenses,S321
22/01/2020,Community Services, MBC,Project Management,248.13,Travel Expenses,S161
22/01/2020,Infrastructure,Isabella Homes Ltd,Equipment Purchase,317.49,Travel Expenses,S391
22/01/2020,Infrastructure,Complete Pe Ltd,Equipment Purchase,61.74,Travel Expenses,S809
22/01/2020,Healthcare,Protect (Whistleblowing Advice) Ltd,Project Management,289.45,Food & Drink Purchases,S448
22/01/2020,Community Services,Success In Schools Ltd,Project Management,157.99,Utilities,S524
22/01/2020,Community Services,Progressive Support Services Ltd,Consultation,233.36,Office Supplies,S148
23/01/2020,Housing,Shredall (E M) Ltd,Maintenance,162.29,Office Supplies,S481
23/01/2020,Education,For Schools Support Ltd,Maintenance,498.29,Office Supplies,S643
23/01/2020,Healthcare,Ph Assist Ltd,Equipment Purchase,429.89,Utilities,S346
23/01/2020,Education,Midlands Municipal Services Ltd,Project Management,323.74,Food & Drink Purchases,S802
23/01/2020,Community Services,Spearhead Trust,Consultation,483.75,Utilities,S108
23/01/2020,Housing,Apogee Corporation Ltd,Training,291.52,Food & Drink Purchases,S572
23/01/2020,Education,Different Class Solutions Ltd,Consultation,132.9,Food & Drink Purchases,S285
23/01/2020,Education,Edupic Ltd,Consultation,405.45,Travel Expenses,S623
24/01/2020,Community Services,Geruma Limited,Equipment Purchase,423.16,Food & Drink Purchases,S307
24/01/2020,Infrastructure,Network Ventures Ltd,Maintenance,495.0,Consulting,S629
24/01/2020,Infrastructure,Wilson Stuart Ucb Partnership Trust,Consultation,66.04,Office Supplies,S922
24/01/2020,Housing,Hags-Smp Ltd,Training,146.55,Consulting,S315
24/01/2020,Infrastructure,Nobisco Limited,Consultation,474.99,Travel Expenses,S906
24/01/2020,Housing,Technicare Ltd T/As Blyth Group Ltd,Consultation,134.5,Travel Expenses,S852
24/01/2020,Education,Hollywood Travel Ltd,Equipment Purchase,318.24,Travel Expenses,S277
25/01/2020,Housing,Education Software Solutions Ltd,Project Management,267.31,Office Supplies,S440
25/01/2020,Education,SECOM PLC,Project Management,164.79,Office Supplies,S308
25/01/2020,Infrastructure,HD Marketing Ltd,Consultation,392.84,Food & Drink Purchases,S382
25/01/2020,Housing,JMU Service Limited,Project Management,381.76,Travel Expenses,S829
25/01/2020,Infrastructure,Meridian Colour Graphics Ltd,Training,51.86,Consulting,S184
25/01/2020,Healthcare,IQ Coaches Ltd,Equipment Purchase,350.81,Office Supplies,S759
25/01/2020,Housing,Collaborate & Innovate Ltd,Maintenance,316.46,Consulting,S167
25/01/2020,Housing,Boldmere Glazing Company,Project Management,336.99,Office Supplies,S269
26/01/2020,Housing,Unity Schools Partnership,Equipment Purchase,69.28,Utilities,S624
26/01/2020,Infrastructure,Specialist Wildlife Services,Project Management,286.61,Food & Drink Purchases,S645
26/01/2020,Healthcare,The Police and CrIme Commissioner For Merseyside,Project Management,85.03,Travel Expenses,S774
26/01/2020,Community Services,Harborne Hill Allotments,Consultation,324.53,Office Supplies,S840
26/01/2020,Healthcare,Mapleshire Nursery Sch Collaboratio,Maintenance,261.63,Food & Drink Purchases,S605
26/01/2020,Infrastructure,Heron Press UK Partnership,Training,424.75,Travel Expenses,S959
26/01/2020,Education,DS Remco UK Ltd,Maintenance,281.17,Food & Drink Purchases,S598
26/01/2020,Education,Public-I Group Limited,Training,281.74,Office Supplies,S152
27/01/2020,Infrastructure,LPC Law Ltd,Training,294.1,Travel Expenses,S489
27/01/2020,Healthcare,Trafalgar Electrical Services Ltd,Consultation,365.66,Food & Drink Purchases,S232
27/01/2020,Community Services,IPA Cleaning & Hygiene Limited,Project Management,116.1,Travel Expenses,S207
27/01/2020,Housing,Phoenix HSC (UK) Limited,Training,246.02,Office Supplies,S964
27/01/2020,Healthcare,Raqs Art,Training,491.09,Travel Expenses,S992
27/01/2020,Education,Open Door Community Foundation,Training,363.53,Travel Expenses,S604
27/01/2020,Housing,Mapleshire Independent College Ltd,Equipment Purchase,415.86,Food & Drink Purchases,S803
28/01/2020,Community Services,ABM Catering Limited,Project Management,395.15,Office Supplies,S598
28/01/2020,Education,K B Extruders Ltd,Project Management,264.76,Utilities,S890
28/01/2020,Education,BHGS Ltd,Equipment Purchase,109.97,Food & Drink Purchases,S908
28/01/2020,Community Services,Travel SOS Ltd,Training,224.3,Consulting,S704
28/01/2020,Community Services,Priority Hire Ltd,Training,390.62,Food & Drink Purchases,S237
28/01/2020,Infrastructure,Ed.Send Ltd,Consultation,421.27,Food & Drink Purchases,S247
28/01/2020,Infrastructure,Coppice Primary School,Maintenance,199.91,Utilities,S431
28/01/2020,Community Services,Landmark Chambers,Project Management,413.39,Office Supplies,S746
29/01/2020,Housing,Ellis-Fermor & Negus Limited,Project Management,295.93,Utilities,S681
29/01/2020,Infrastructure,Squidcard Ltd,Training,332.54,Food & Drink Purchases,S910
29/01/2020,Healthcare,Autism.West Midlands,Equipment Purchase,202.59,Utilities,S505
29/01/2020,Healthcare,Adder Group LTD,Consultation,497.62,Travel Expenses,S124
29/01/2020,Education,Mariantonia House,Project Management,303.25,Office Supplies,S708
29/01/2020,Infrastructure,St Bart’s Local Pantry,Equipment Purchase,332.34,Consulting,S644
29/01/2020,Healthcare,QED Environmental Systems Ltd,Training,271.99,Consulting,S152
29/01/2020,Housing,Earlsdon Care Ltd,Project Management,111.62,Consulting,S497
30/01/2020,Housing,BBFI Ltd,Consultation,410.23,Travel Expenses,S625
30/01/2020,Healthcare,Vox Xp Ltd,Consultation,235.75,Consulting,S588
30/01/2020,Education,Mapleshire Community Leisure Trust Limited,Consultation,282.74,Office Supplies,S490
30/01/2020,Education,Stechford Glass,Project Management,363.21,Consulting,S572
30/01/2020,Housing,Commonwealth Local Gov Forum,Maintenance,400.3,Office Supplies,S719
30/01/2020,Healthcare,Cleanwater Services Ltd,Project Management,330.79,Consulting,S879
30/01/2020,Healthcare,Altruist Enterprises Uk Ltd,Equipment Purchase,458.96,Office Supplies,S799
31/01/2020,Education,Dudley Metropolitan Borough Council,Equipment Purchase,97.3,Consulting,S701
31/01/2020,Infrastructure,CASBA,Equipment Purchase,442.16,Office Supplies,S162
31/01/2020,Housing,KEP Print Group Ltd,Equipment Purchase,423.16,Utilities,S821
31/01/2020,Community Services,London Community Credit Union,Equipment Purchase,226.87,Food & Drink Purchases,S133
31/01/2020,Community Services,Triple P UK Limited,Maintenance,304.47,Consulting,S459
31/01/2020,Healthcare,City of Mapleshire Symphony Orchestra,Project Management,198.16,Food & Drink Purchases,S422
31/01/2020,Education,Peacock Carter Limited,Training,185.13,Travel Expenses,S440
31/01/2020,Healthcare,Digital Id Ltd,Project Management,286.48,Office Supplies,S557
01/02/2020,Infrastructure, Asbestos Testing Services,Maintenance,61.63,Travel Expenses,S302
01/02/2020,Education,Amion Consulting Ltd,Equipment Purchase,152.14,Food & Drink Purchases,S728
01/02/2020,Infrastructure,Yardley Church Forward Club,Training,495.84,Food & Drink Purchases,S579
01/02/2020,Education,Hollywood Rest Home Ltd,Project Management,486.15,Travel Expenses,S574
01/02/2020,Healthcare,Able Access (UK) Limited,Project Management,141.85,Consulting,S158
01/02/2020,Education,Alpine Care UK Ltd,Equipment Purchase,232.29,Food & Drink Purchases,S866
01/02/2020,Community Services,HD Marketing Ltd,Training,61.83,Food & Drink Purchases,S952
01/02/2020,Infrastructure,Stella Group,Maintenance,293.53,Travel Expenses,S196
02/02/2020,Education,Foresight Clinical Services Limited,Consultation,358.22,Utilities,S240
02/02/2020,Community Services,SSS Learning Ltd,Maintenance,328.32,Travel Expenses,S228
02/02/2020,Housing,Zen Educate Ltd,Training,133.65,Consulting,S814
02/02/2020,Healthcare,Crestwood Environmental Ltd,Training,154.51,Office Supplies,S454
02/02/2020,Community Services,608 Equine & Farm Vets LLP,Project Management,106.2,Utilities,S893
02/02/2020,Healthcare,Jump N Bounce Limited,Training,88.96,Food & Drink Purchases,S805
02/02/2020,Education,Elements Reg Tech Limited,Consultation,398.09,Utilities,S469
03/02/2020,Infrastructure,Eventmen Ltd,Training,59.67,Office Supplies,S681
03/02/2020,Healthcare,Mcare24 Ltd,Training,463.38,Travel Expenses,S988
03/02/2020,Education,Restful Homes () Ltd,Maintenance,66.72,Food & Drink Purchases,S583
03/02/2020,Community Services,Just2Easy Limited,Maintenance,443.27,Food & Drink Purchases,S504
03/02/2020,Community Services,Net World Sports Ltd,Project Management,424.54,Travel Expenses,S181
03/02/2020,Community Services,The Anna Freud Centre,Project Management,228.34,Office Supplies,S821
03/02/2020,Community Services,Walnut Computer Consultancy,Consultation,224.6,Travel Expenses,S549
03/02/2020,Housing,Gro-Organic CIC,Consultation,118.77,Consulting,S662
04/02/2020,Housing,Outdoor Places Unusual Spaces Limited,Project Management,135.55,Consulting,S716
04/02/2020,Education,West Midlands Medical Services Ltd,Maintenance,52.84,Travel Expenses,S395
04/02/2020,Healthcare,Little Rainbows Nursery,Consultation,266.76,Office Supplies,S314
04/02/2020,Community Services,Evolve A Social Impact Co Ltd,Equipment Purchase,325.31,Consulting,S317
04/02/2020,Healthcare,Rozone Ltd,Maintenance,241.18,Travel Expenses,S143
04/02/2020,Healthcare,Nuvo Healthcare Ltd,Training,459.55,Travel Expenses,S750
04/02/2020,Infrastructure,C & D Harwood Ltd,Training,356.07,Food & Drink Purchases,S152
04/02/2020,Education,Neighbourhood Watch Network,Equipment Purchase,170.49,Travel Expenses,S450
05/02/2020,Infrastructure,Rotadex Systems Ltd,Project Management,281.78,Utilities,S306
05/02/2020,Housing,Blueberry Consultants Limited,Maintenance,361.32,Travel Expenses,S587
05/02/2020,Community Services,Clear Channel UK Ltd,Training,55.15,Consulting,S439
05/02/2020,Community Services,Browne Jacobson LLP,Equipment Purchase,156.32,Consulting,S989
05/02/2020,Housing,Galaxy Management Solutions Ltd,Training,65.24,Consulting,S132
05/02/2020,Community Services,Black Country Housing Group Ltd,Training,101.87,Travel Expenses,S483
05/02/2020,Healthcare,Sevacare (UK) Ltd,Training,273.65,Consulting,S719
06/02/2020,Community Services,SoundlightingUK Limited,Consultation,109.31,Consulting,S145
06/02/2020,Infrastructure,Positive Living Limited,Project Management,303.57,Food & Drink Purchases,S864
06/02/2020,Housing,WYG Management Services Ltd,Project Management,113.04,Utilities,S134
06/02/2020,Healthcare,Association Of Translation Companies,Project Management,281.39,Food & Drink Purchases,S896
06/02/2020,Infrastructure,Nature Planet Aps,Equipment Purchase,196.47,Consulting,S405
06/02/2020,Healthcare,The Limes Rest Home,Project Management,99.93,Office Supplies,S401
06/02/2020,Education,Everquip Garage Equipment Limited,Equipment Purchase,354.29,Travel Expenses,S242
06/02/2020,Infrastructure,Sme Invoice Finance Ltd,Maintenance,390.75,Consulting,S798
07/02/2020,Healthcare,N.S.E.P. CIC,Consultation,251.85,Utilities,S161
07/02/2020,Education,Forward Contracts Ltd,Equipment Purchase,107.14,Utilities,S466
07/02/2020,Infrastructure,Bournville Parish Church,Project Management,292.69,Office Supplies,S854
07/02/2020,Infrastructure,Iconic Brands Ltd,Consultation,304.73,Office Supplies,S567
07/02/2020,Infrastructure,Iansyst Ltd,Project Management,408.24,Food & Drink Purchases,S484
07/02/2020,Housing,We Paint It Ltd,Project Management,184.35,Consulting,S753
07/02/2020,Infrastructure,Mapleshire Ethnic Education & Advisory Service,Consultation,146.59,Travel Expenses,S458
07/02/2020,Housing,Avonstar Trading Co Ltd,Equipment Purchase,324.58,Consulting,S613
08/02/2020,Infrastructure,G4S Secure Solutions (UK) Ltd,Training,116.41,Travel Expenses,S177
08/02/2020,Infrastructure,The Play Inspection Company Ltd,Training,435.93,Consulting,S484
08/02/2020,Community Services,NEC Software Solutions UK Limited,Training,88.6,Office Supplies,S573
08/02/2020,Housing,Vbh (Gb) Ltd,Project Management,187.21,Office Supplies,S565
08/02/2020,Healthcare,The No Way Trust Ltd,Project Management,54.56,Food & Drink Purchases,S871
08/02/2020,Education,Waveney Publishing Ltd,Consultation,442.78,Office Supplies,S929
08/02/2020,Healthcare,Lynne Rioch Marketing,Maintenance,489.64,Travel Expenses,S810
09/02/2020,Infrastructure,Tudor Rose Cleaning Services Limited,Equipment Purchase,482.08,Travel Expenses,S104
09/02/2020,Healthcare,Arval UK Limited,Equipment Purchase,237.83,Food & Drink Purchases,S603
09/02/2020,Education,Innovate Technology Services Ltd,Training,478.2,Office Supplies,S757
09/02/2020,Education,D & L Care Homes Ltd,Consultation,86.92,Utilities,S916
09/02/2020,Community Services,Robinson's Catering,Equipment Purchase,253.38,Consulting,S169
09/02/2020,Housing,Priory Healthcare Limited T./A  J C Care,Maintenance,204.76,Travel Expenses,S575
09/02/2020,Community Services,Huws Gray Ltd,Maintenance,116.32,Consulting,S182
09/02/2020,Community Services,Clbd Ltd,Project Management,143.88,Travel Expenses,S969
10/02/2020,Infrastructure,Cow & Sow (Bristol) Limited,Training,470.23,Travel Expenses,S674
10/02/2020,Healthcare,Feed My Creative CIC,Training,208.79,Consulting,S155
10/02/2020,Infrastructure,Farm Effect,Equipment Purchase,357.35,Food & Drink Purchases,S353
10/02/2020,Housing,Agrani Arts Cultural Society,Equipment Purchase,450.7,Travel Expenses,S994
10/02/2020,Infrastructure,Commercial Property Services,Project Management,243.55,Consulting,S699
10/02/2020,Infrastructure,Educare M,Training,334.95,Food & Drink Purchases,S371
